93,37.66202111,55.76341295
55,37.817217000371,55.714217949961
54,37.609031230432,55.732587649799
81,37.739844800421,55.624645849819
58,37.70672706,55.7543289
94,37.57071912022,55.781975079923
98,37.635999160114,55.764361610124
9,37.549480649911,55.740489260186
100,37.622397320138,55.763547100227
106,37.596238909969,55.777987770222
74,37.562024799997,55.663348739864
68,37.604870949993,55.66251861018
53,37.576299649699,55.732278679988
92,37.592152470148,55.755768349865
106,37.59510084,55.77849854
93,37.682632689993,55.762588470194
19,37.529111090332,55.802329399911
92,37.59043008,55.75170955
16,37.481222589747,55.670492229978
53,37.568420849736,55.731445980039
72,37.499319610185,55.651925910058
42,37.643486058357,55.833636472158
39,37.608038539941,55.787842089956
100,37.630675389804,55.771974770194
93,37.648938550061,55.760303409837
33,37.655079809737,55.85910474023
4,37.800149303722,55.799556738789
66,37.564066780232,55.692195680065
73,37.482112399782,55.634117090184
55,37.806425309792,55.70059971017
15,37.533238670298,55.727499820082
38,37.59920689,55.82519655
58,37.702335330424,55.757222209814
8,37.729704489933,55.787716850212
106,37.615755430252,55.776281099946
8,37.738933279902,55.781795149967
98,37.633173130299,55.770795310156
8,37.72585996013,55.754781010018
54,37.602760089637,55.726494510174
72,37.4901086,55.64936718
98,37.662882250206,55.770765479867
102,37.59389192,55.76757088
97,37.63352158,55.7371519
93,37.69861552002,55.778473619896
83,37.649869069948,55.676978429822
105,37.66734464,55.74361605
102,37.602022410193,55.762425710154
58,37.71214899,55.75527569
55,37.79352752981,55.698629269761
68,37.604870949993,55.66251861018
79,37.613208910339,55.710827380057
65,37.692239030198,55.722861879943
67,37.555212541923,55.692059307227
4,37.760230289824,55.801111830233
31,37.65006493,55.82558
102,37.603458170444,55.75474008002
105,37.666011139833,55.734420870075
28,37.50773232,55.81040761
106,37.60652334,55.76993338
40,37.6169262,55.81684995
41,37.606442160019,55.857214789858
59,37.745079560262,55.671703740146
40,37.616926200071,55.816849950237
104,37.69319496,55.80264162
15,37.51075369,55.71207018
71,37.534495820318,55.68245516007
79,37.611646669992,55.707556530221
82,37.632593350428,55.652773660008
28,37.49607162,55.80645342
98,37.635591780421,55.769378810101
93,37.693515999747,55.778534000193
14,37.48660599,55.67593701
16,37.47705637,55.66717887
28,37.497822229997,55.804753609797
79,37.638031039693,55.722643559802
4,37.748865730115,55.792679630033
107,37.52455082,55.77226798
23,37.514596200007,55.850097980115
17,37.498337919564,55.75034037975
59,37.773353237024,55.681716941107
53,37.594599139622,55.738565560126
100,37.62400071,55.76355844
46,37.69004298979,55.856419429959
28,37.498392249673,55.80736630998
54,37.609063070319,55.728011860185
99,37.7261703604,55.827513060142
106,37.595844030333,55.790093429914
82,37.664521188713,55.649968524201
105,37.65601196,55.74598624
102,37.58599044,55.76210878
79,37.65492404007,55.700299950003
97,37.639792120332,55.726244340162
107,37.542164899595,55.775961400186
2,37.820404070285,55.792359650179
53,37.57997368,55.72102926
72,37.518107850098,55.653448479903
93,37.6334481,55.76122134
23,37.509097830443,55.851487140014
53,37.595368640088,55.73559868975
107,37.5289567,55.80040551
93,37.6840266696,55.765026889908
23,37.506386239707,55.843030660043
106,37.612421529806,55.759710639788
42,37.637228642921,55.835056259777
42,37.635299340169,55.834749650226
15,37.530734000199,55.702908830097
1,37.813984609552,55.729367840055
28,37.502411759615,55.8116365599
93,37.66376458536,55.762826423016
1,37.81398461,55.72936784
106,37.607994700358,55.783101790153
55,37.830230910061,55.70805484016
97,37.62777111044,55.727361589936
102,37.60378097016,55.756132380024
100,37.621064450225,55.760560900215
97,37.637571280134,55.745566740121
16,37.477056369648,55.667178870076
51,37.486107230309,55.793711269803
29,37.549862179684,55.832976109961
93,37.6998607,55.77667801
93,37.67551802,55.76310218
69,37.53322057,55.64242516
64,37.736581280282,55.702807660012
72,37.51330957,55.64951416
14,37.484798697553,55.673856228021
27,37.483875830414,55.856380570024
9,37.53031134,55.74026544
64,37.738765639897,55.713943120245
93,37.686183089812,55.770163290109
93,37.68618309,55.77016329
38,37.600898180293,55.828866599951
106,37.626694201992,55.755033528762
66,37.583381790431,55.678683720183
8,37.71123602,55.78130459
6,37.79029193,55.76067127
93,37.67577723014,55.763879889998
95,37.6955008103,55.812685610047
80,37.6255343,55.7025444
